 
Wed Jan 6 13:42:11 2016 ... X:200.02 Y:62.43
Wed Jan 6 13:42:13 2016 ... X:204.87 Y:63.17
Wed Jan 6 13:42:14 2016 ... X:209.67 Y:64.24
Wed Jan 6 13:42:15 2016 ... X:211.49 Y:65.16
Wed Jan 6 13:42:16 2016 ... X:215.57 Y:66.47
Wed Jan 6 13:42:18 2016 ... X:217.39 Y:65.70
Wed Jan 6 13:42:19 2016 ... X:215.66 Y:63.94
Wed Jan 6 13:42:20 2016 ... X:219.87 Y:62.82
Wed Jan 6 13:42:21 2016 ... X:221.22 Y:61.07
Wed Jan 6 13:42:23 2016 ... X:220.81 Y:66.13
Wed Jan 6 13:42:24 2016 ... X:221.21 Y:66.94
Wed Jan 6 13:42:25 2016 ... X:221.83 Y:65.68
Wed Jan 6 13:42:26 2016 ... X:216.90 Y:65.99
Wed Jan 6 13:42:28 2016 ... X:215.21 Y:69.15
Wed Jan 6 13:42:29 2016 ... X:221.87 Y:65.21
Wed Jan 6 13:42:30 2016 ... X:223.97 Y:64.82
Wed Jan 6 13:42:31 2016 ... X:224.89 Y:60.22
Wed Jan 6 13:42:33 2016 ... X:229.89 Y:58.77
Wed Jan 6 13:42:34 2016 ... X:229.25 Y:57.11
Wed Jan 6 13:42:35 2016 ... X:227.23 Y:59.02
Wed Jan 6 13:42:37 2016 ... X:227.03 Y:54.52
Wed Jan 6 13:42:38 2016 ... X:226.08 Y:53.35
Wed Jan 6 13:42:39 2016 ... X:229.50 Y:55.22
Wed Jan 6 13:42:40 2016 ... X:233.81 Y:48.77
Wed Jan 6 13:42:41 2016 ... X:235.74 Y:47.50
Wed Jan 6 13:42:43 2016 ... X:235.32 Y:46.00
Wed Jan 6 13:42:44 2016 ... X:238.14 Y:43.70
Wed Jan 6 13:42:45 2016 ... X:234.63 Y:44.20
Wed Jan 6 13:42:47 2016 ... X:235.21 Y:39.29
Wed Jan 6 13:42:48 2016 ... X:237.25 Y:36.95
Wed Jan 6 13:42:49 2016 ... X:237.94 Y:36.68
Wed Jan 6 13:42:50 2016 ... X:243.19 Y:36.84
Wed Jan 6 13:42:52 2016 ... X:241.45 Y:39.26
Wed Jan 6 13:42:53 2016 ... X:243.37 Y:42.48
Wed Jan 6 13:42:54 2016 ... X:239.91 Y:40.97
Wed Jan 6 13:42:55 2016 ... X:246.53 Y:39.06
Wed Jan 6 13:42:57 2016 ... X:246.39 Y:33.68
Wed Jan 6 13:42:58 2016 ... X:250.96 Y:34.60
Wed Jan 6 13:42:59 2016 ... X:251.70 Y:31.50
Wed Jan 6 13:43:00 2016 ... X:256.29 Y:29.35
Wed Jan 6 13:43:02 2016 ... X:255.63 Y:25.49
Wed Jan 6 13:43:03 2016 ... X:254.85 Y:29.25
Wed Jan 6 13:43:04 2016 ... X:257.07 Y:26.30
Wed Jan 6 13:43:05 2016 ... X:255.44 Y:22.89
Wed Jan 6 13:43:07 2016 ... X:253.77 Y:24.96
Wed Jan 6 13:43:08 2016 ... X:252.30 Y:25.07
Wed Jan 6 13:43:09 2016 ... X:252.70 Y:23.73
Wed Jan 6 13:43:10 2016 ... X:252.45 Y:22.43
Wed Jan 6 13:43:12 2016 ... X:253.02 Y:21.98
Wed Jan 6 13:43:13 2016 ... X:250.45 Y:21.11
Wed Jan 6 13:43:14 2016 ... X:250.48 Y:19.29
Wed Jan 6 13:43:15 2016 ... X:254.97 Y:22.68
Wed Jan 6 13:43:17 2016 ... X:258.38 Y:23.18
Wed Jan 6 13:43:18 2016 ... X:255.71 Y:26.99
Wed Jan 6 13:43:19 2016 ... X:253.29 Y:24.93
Wed Jan 6 13:43:20 2016 ... X:250.46 Y:28.44
Wed Jan 6 13:43:22 2016 ... X:252.38 Y:29.93
Wed Jan 6 13:43:23 2016 ... X:251.66 Y:27.85
Wed Jan 6 13:43:24 2016 ... X:250.00 Y:27.76
Wed Jan 6 13:43:25 2016 ... X:254.76 Y:30.21
Wed Jan 6 13:43:27 2016 ... X:254.57 Y:28.85
Wed Jan 6 13:43:28 2016 ... X:256.21 Y:29.59
Wed Jan 6 13:43:29 2016 ... X:259.44 Y:29.85
Wed Jan 6 13:43:30 2016 ... X:258.37 Y:28.15
Wed Jan 6 13:43:32 2016 ... X:260.33 Y:24.57
Wed Jan 6 13:43:33 2016 ... X:262.54 Y:24.07
Wed Jan 6 13:43:34 2016 ... X:260.40 Y:27.11
Wed Jan 6 13:43:36 2016 ... X:260.40 Y:29.12
Wed Jan 6 13:43:37 2016 ... X:262.81 Y:29.73
Wed Jan 6 13:43:38 2016 ... X:259.96 Y:30.69
Wed Jan 6 13:43:39 2016 ... X:259.28 Y:28.07
Wed Jan 6 13:43:41 2016 ... X:259.60 Y:31.07
Wed Jan 6 13:43:42 2016 ... X:259.39 Y:26.78
Wed Jan 6 13:43:43 2016 ... X:262.06 Y:19.77
Wed Jan 6 13:43:44 2016 ... X:265.29 Y:18.04
Wed Jan 6 13:43:46 2016 ... X:264.81 Y:12.27
Wed Jan 6 13:43:47 2016 ... X:266.37 Y:9.57
Wed Jan 6 13:43:48 2016 ... X:264.22 Y:11.92
Wed Jan 6 13:43:49 2016 ... X:269.22 Y:12.96
Wed Jan 6 13:43:51 2016 ... X:272.55 Y:16.43
Wed Jan 6 13:43:52 2016 ... X:267.26 Y:16.30
Wed Jan 6 13:43:53 2016 ... X:267.23 Y:10.93
Wed Jan 6 13:43:54 2016 ... X:266.25 Y:11.01
Wed Jan 6 13:43:56 2016 ... X:264.81 Y:10.19
